fas1;fas2;fas3;fas4;fas5;fas6;fas7;fas8;fas9;fas10;fas11;fas12;fas13;fas14;fas15;fas16;fas17;fas18;fas19;fas20;fas21;fas22;fas23;fas24;fas25;fas26;fas27;fas28;fas29;fas30;fas31;fas32;fas33;fas34
14891.6;14891.6;14891.6;14891.6;14891.6;14891.6;14891.6;14891.6;14891.6;14891.6;14891.6;14891.6;14891.6;14891.6;14891.6;14891.6;14891.6;14891.6;14891.6;14891.6;14891.6;14891.6;14891.6;14891.6;14891.6;14891.6;14891.6;14891.6;14891.6;14891.6;14891.6;14891.6;14891.6;14891.6
1924.8;1924.8;1924.8;1924.8;1924.8;1924.8;1924.8;1924.8;1924.8;1924.8;1924.8;1924.8;1924.8;1924.8;1924.8;1924.8;1924.8;1924.8;1924.8;1924.8;1924.8;1924.8;1924.8;1924.8;1924.8;1924.8;1924.8;1924.8;1924.8;1924.8;1924.8;1924.8;1924.8;1924.8
25765.2;25765.2;25765.2;25765.2;25765.2;25765.2;25765.2;25765.2;25765.2;25765.2;25765.2;25765.2;25765.2;25765.2;25765.2;25765.2;25765.2;25765.2;25765.2;25765.2;25765.2;25765.2;25765.2;25765.2;25765.2;25765.2;25765.2;25765.2;25765.2;25765.2;25765.2;25765.2;25765.2;25765.2
13134.7;13134.7;13134.7;13134.7;13134.7;13134.7;13134.7;13134.7;13134.7;13134.7;13134.7;13134.7;13134.7;13134.7;13134.7;13134.7;13134.7;13134.7;13134.7;13134.7;13134.7;13134.7;13134.7;13134.7;13134.7;13134.7;13134.7;13134.7;13134.7;13134.7;13134.7;13134.7;13134.7;13134.7
7040.1;7040.1;7040.1;7040.1;7040.1;7040.1;7040.1;7040.1;7040.1;7040.1;7040.1;7040.1;7040.1;7040.1;7040.1;7040.1;7040.1;7040.1;7040.1;7040.1;7040.1;7040.1;7040.1;7040.1;7040.1;7040.1;7040.1;7040.1;7040.1;7040.1;7040.1;7040.1;7040.1;7040.1
12703.7;12703.7;12703.7;12703.7;12703.7;12703.7;12703.7;12703.7;12703.7;12703.7;12703.7;12703.7;12703.7;12703.7;12703.7;12703.7;12703.7;12703.7;12703.7;12703.7;12703.7;12703.7;12703.7;12703.7;12703.7;12703.7;12703.7;12703.7;12703.7;12703.7;12703.7;12703.7;12703.7;12703.7
27586.5;27586.5;27586.5;27586.5;27586.5;27586.5;27586.5;27586.5;27586.5;27586.5;27586.5;27586.5;27586.5;27586.5;27586.5;27586.5;27586.5;27586.5;27586.5;27586.5;27586.5;27586.5;27586.5;27586.5;27586.5;27586.5;27586.5;27586.5;27586.5;27586.5;27586.5;27586.5;27586.5;27586.5
7522.6;7522.6;7522.6;7522.6;7522.6;7522.6;7522.6;7522.6;7522.6;7522.6;7522.6;7522.6;7522.6;7522.6;7522.6;7522.6;7522.6;7522.6;7522.6;7522.6;7522.6;7522.6;7522.6;7522.6;7522.6;7522.6;7522.6;7522.6;7522.6;7522.6;7522.6;7522.6;7522.6;7522.6
5793.5;5793.5;5793.5;5793.5;5793.5;5793.5;5793.5;5793.5;5793.5;5793.5;5793.5;5793.5;5793.5;5793.5;5793.5;5793.5;5793.5;5793.5;5793.5;5793.5;5793.5;5793.5;5793.5;5793.5;5793.5;5793.5;5793.5;5793.5;5793.5;5793.5;5793.5;5793.5;5793.5;5793.5
13493;13493;13493;13493;13493;13493;13493;13493;13493;13493;13493;13493;13493;13493;13493;13493;13493;13493;13493;13493;13493;13493;13493;13493;13493;13493;13493;13493;13493;13493;13493;13493;13493;13493
10910;10910;10910;10910;10910;10910;10910;10910;10910;10910;10910;10910;10910;10910;10910;10910;10910;10910;10910;10910;10910;10910;10910;10910;10910;10910;10910;10910;10910;10910;10910;10910;10910;10910
14282.9;14282.9;14282.9;14282.9;14282.9;14282.9;14282.9;14282.9;14282.9;14282.9;14282.9;14282.9;14282.9;14282.9;14282.9;14282.9;14282.9;14282.9;14282.9;14282.9;14282.9;14282.9;14282.9;14282.9;14282.9;14282.9;14282.9;14282.9;14282.9;14282.9;14282.9;14282.9;14282.9;14282.9
21714.5;21714.5;21714.5;21714.5;21714.5;21714.5;21714.5;21714.5;21714.5;21714.5;21714.5;21714.5;21714.5;21714.5;21714.5;21714.5;21714.5;21714.5;21714.5;21714.5;21714.5;21714.5;21714.5;21714.5;21714.5;21714.5;21714.5;21714.5;21714.5;21714.5;21714.5;21714.5;21714.5;21714.5
53460.7;53460.7;53460.7;53460.7;53460.7;53460.7;53460.7;53460.7;53460.7;53460.7;53460.7;53460.7;53460.7;53460.7;53460.7;53460.7;53460.7;53460.7;53460.7;53460.7;53460.7;53460.7;53460.7;53460.7;53460.7;53460.7;53460.7;53460.7;53460.7;53460.7;53460.7;53460.7;53460.7;53460.7
12126.1;12126.1;12126.1;12126.1;12126.1;12126.1;12126.1;12126.1;12126.1;12126.1;12126.1;12126.1;12126.1;12126.1;12126.1;12126.1;12126.1;12126.1;12126.1;12126.1;12126.1;12126.1;12126.1;12126.1;12126.1;12126.1;12126.1;12126.1;12126.1;12126.1;12126.1;12126.1;12126.1;12126.1
5970.3;5970.3;5970.3;5970.3;5970.3;5970.3;5970.3;5970.3;5970.3;5970.3;5970.3;5970.3;5970.3;5970.3;5970.3;5970.3;5970.3;5970.3;5970.3;5970.3;5970.3;5970.3;5970.3;5970.3;5970.3;5970.3;5970.3;5970.3;5970.3;5970.3;5970.3;5970.3;5970.3;5970.3
56536.3;56536.3;56536.3;56536.3;56536.3;56536.3;56536.3;56536.3;56536.3;56536.3;56536.3;56536.3;56536.3;56536.3;56536.3;56536.3;56536.3;56536.3;56536.3;56536.3;56536.3;56536.3;56536.3;56536.3;56536.3;56536.3;56536.3;56536.3;56536.3;56536.3;56536.3;56536.3;56536.3;56536.3
548.3;548.3;548.3;548.3;548.3;548.3;548.3;548.3;548.3;548.3;548.3;548.3;548.3;548.3;548.3;548.3;548.3;548.3;548.3;548.3;548.3;548.3;548.3;548.3;548.3;548.3;548.3;548.3;548.3;548.3;548.3;548.3;548.3;548.3
567.4;567.4;567.4;567.4;567.4;567.4;567.4;567.4;567.4;567.4;567.4;567.4;567.4;567.4;567.4;567.4;567.4;567.4;567.4;567.4;567.4;567.4;567.4;567.4;567.4;567.4;567.4;567.4;567.4;567.4;567.4;567.4;567.4;567.4
4244.6;4244.6;4244.6;4244.6;4244.6;4244.6;4244.6;4244.6;4244.6;4244.6;4244.6;4244.6;4244.6;4244.6;4244.6;4244.6;4244.6;4244.6;4244.6;4244.6;4244.6;4244.6;4244.6;4244.6;4244.6;4244.6;4244.6;4244.6;4244.6;4244.6;4244.6;4244.6;4244.6;4244.6
95140.8;95140.8;95140.8;95140.8;95140.8;95140.8;95140.8;95140.8;95140.8;95140.8;95140.8;95140.8;95140.8;95140.8;95140.8;95140.8;95140.8;95140.8;95140.8;95140.8;95140.8;95140.8;95140.8;95140.8;95140.8;95140.8;95140.8;95140.8;95140.8;95140.8;95140.8;95140.8;95140.8;95140.8
70490;70490;70490;70490;70490;70490;70490;70490;70490;70490;70490;70490;70490;70490;70490;70490;70490;70490;70490;70490;70490;70490;70490;70490;70490;70490;70490;70490;70490;70490;70490;70490;70490;70490
24382.9;24382.9;24382.9;24382.9;24382.9;24382.9;24382.9;24382.9;24382.9;24382.9;24382.9;24382.9;24382.9;24382.9;24382.9;24382.9;24382.9;24382.9;24382.9;24382.9;24382.9;24382.9;24382.9;24382.9;24382.9;24382.9;24382.9;24382.9;24382.9;24382.9;24382.9;24382.9;24382.9;24382.9
6494;6494;6494;6494;6494;6494;6494;6494;6494;6494;6494;6494;6494;6494;6494;6494;6494;6494;6494;6494;6494;6494;6494;6494;6494;6494;6494;6494;6494;6494;6494;6494;6494;6494
4657.5;4657.5;4657.5;4657.5;4657.5;4657.5;4657.5;4657.5;4657.5;4657.5;4657.5;4657.5;4657.5;4657.5;4657.5;4657.5;4657.5;4657.5;4657.5;4657.5;4657.5;4657.5;4657.5;4657.5;4657.5;4657.5;4657.5;4657.5;4657.5;4657.5;4657.5;4657.5;4657.5;4657.5
537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537;537
4570.8;4570.8;4570.8;4570.8;4570.8;4570.8;4570.8;4570.8;4570.8;4570.8;4570.8;4570.8;4570.8;4570.8;4570.8;4570.8;4570.8;4570.8;4570.8;4570.8;4570.8;4570.8;4570.8;4570.8;4570.8;4570.8;4570.8;4570.8;4570.8;4570.8;4570.8;4570.8;4570.8;4570.8
649.6;649.6;649.6;649.6;649.6;649.6;649.6;649.6;649.6;649.6;649.6;649.6;649.6;649.6;649.6;649.6;649.6;649.6;649.6;649.6;649.6;649.6;649.6;649.6;649.6;649.6;649.6;649.6;649.6;649.6;649.6;649.6;649.6;649.6
2406.5;2406.5;2406.5;2406.5;2406.5;2406.5;2406.5;2406.5;2406.5;2406.5;2406.5;2406.5;2406.5;2406.5;2406.5;2406.5;2406.5;2406.5;2406.5;2406.5;2406.5;2406.5;2406.5;2406.5;2406.5;2406.5;2406.5;2406.5;2406.5;2406.5;2406.5;2406.5;2406.5;2406.5
4414;4414;4414;4414;4414;4414;4414;4414;4414;4414;4414;4414;4414;4414;4414;4414;4414;4414;4414;4414;4414;4414;4414;4414;4414;4414;4414;4414;4414;4414;4414;4414;4414;4414
67107;67107;67107;67107;67107;67107;67107;67107;67107;67107;67107;67107;67107;67107;67107;67107;67107;67107;67107;67107;67107;67107;67107;67107;67107;67107;67107;67107;67107;67107;67107;67107;67107;67107
40395.8;40395.8;40395.8;40395.8;40395.8;40395.8;40395.8;40395.8;40395.8;40395.8;40395.8;40395.8;40395.8;40395.8;40395.8;40395.8;40395.8;40395.8;40395.8;40395.8;40395.8;40395.8;40395.8;40395.8;40395.8;40395.8;40395.8;40395.8;40395.8;40395.8;40395.8;40395.8;40395.8;40395.8
64312.9;64312.9;64312.9;64312.9;64312.9;64312.9;64312.9;64312.9;64312.9;64312.9;64312.9;64312.9;64312.9;64312.9;64312.9;64312.9;64312.9;64312.9;64312.9;64312.9;64312.9;64312.9;64312.9;64312.9;64312.9;64312.9;64312.9;64312.9;64312.9;64312.9;64312.9;64312.9;64312.9;64312.9
4072.2;4072.2;4072.2;4072.2;4072.2;4072.2;4072.2;4072.2;4072.2;4072.2;4072.2;4072.2;4072.2;4072.2;4072.2;4072.2;4072.2;4072.2;4072.2;4072.2;4072.2;4072.2;4072.2;4072.2;4072.2;4072.2;4072.2;4072.2;4072.2;4072.2;4072.2;4072.2;4072.2;4072.2
