h1;h2;h3;h4
1831.900915;841.4792143;975.4113271;2476.408544
9.156852927;3.740570832;4.036135748;11.56644049
10499.84687;4915.993561;5697.523535;14506.83603
1238.545902;424.3556572;284.3688846;1391.429556
974.9135039;306.7208645;188.9763415;1048.38929
3627.654437;1512.634307;1075.396436;5102.014821
387.9548584;129.0514572;143.7933328;394.6003516
55.94772459;20.68302812;14.77187658;68.49737072
76.36072762;29.48067087;23.15770375;83.80089776
1.326140252;0.573366222;0.590501681;1.809991845
104.8090944;37.91945607;31.50218367;108.4692658
712.9126881;233.9456374;116.1001457;694.4415288
92.58437584;35.07163438;34.5305915;101.3133983
289.2203534;115.5983013;40.51461631;388.666729
82.11575999;32.59402026;20.20914236;97.7810774
1027.227758;362.2932907;212.7308874;1065.848064
13087.99682;3493.116826;3728.857668;12395.42868
5090.110947;2126.76876;2398.296526;6827.723766
1401.015305;481.918442;446.2047923;1330.561461
966.052442;332.3007865;307.6748896;917.4718819
1748.055614;711.9788519;734.9705133;2202.695021
33959.61829;13137.75139;10724.64582;41415.9845
3847.179843;1629.804754;1361.02672;4940.988683
35335.98783;10979.09376;5536.467343;42345.85107
7554.487182;2724.334081;2444.551989;9320.126748
36545.54702;13264.57517;14482.84282;41661.33499
112.97195;31.1846228;38.21134844;121.7320787
405.4987595;143.7727819;94.67331498;478.1551436
4114.329522;1095.978839;476.0959489;3332.29569
207.8190009;75.25724053;65.72572342;243.1980351
267.3212318;96.80471059;84.54415268;312.829905
6066.742173;1207.126091;273.5519436;5660.179792
7686.063448;3109.994647;3370.34171;7728.800195
2902.743887;987.4050264;546.0928463;2971.75824
