i1;i2;i3;i4;i5;i6;i7;i8;i9;i10;i11;i12;i13;i14;i15;i16;i17;i18;i19;i20;i21;i22;i23;i24;i25;i26;i27;i28;i29;i30;i31;i32;i33;i34
2274.5;1.2;23094.8;166.6;672.6;0;124;99.4;0;0;0;0;0;1;0;4.1;53.3;45.7;0.1;0.2;51.5;377.9;2.1;651.5;1.2;0.5;2.9;0;0;103.2;44.6;28.1;53.3;42.7
2.2;11.4;9.5;0.4;14.7;854.9;229;4.5;171.6;761.2;52.5;4.2;0;2.9;0;0.4;15.8;905.7;0;5.9;448;45.5;0.2;2;1.4;4.6;0;0;0.2;0;5.9;0.1;0;0.3
7064;1;46185.4;408.6;143.8;0;769.3;30.3;11.6;10.8;2;1.2;1.6;0;0;3.2;353.4;113.6;0.4;0.8;181.4;1135.1;0;17383.4;3.6;0;8.8;0;34.1;0;228.9;223.9;766.7;348.4
25.7;0.6;67.6;847.3;30.7;0;57;43.4;0;30;10.3;6.5;13.3;183.1;12.7;19.6;146.8;0.2;2.1;6.5;258.1;80.7;6.1;248.8;2.2;0.2;62.4;0.3;2.1;15.9;44;16.9;69.6;19.7
93.1;41.5;2146.7;62.3;6567.8;8.8;872;324.4;141.8;103.3;107.4;158.6;53.6;164.9;60.1;758.6;3141.3;53.2;22;613.8;1270;984.4;970.2;411;595.9;24.5;1923.5;23.9;15.9;544.8;433.2;691.9;337.7;147.2
197.2;42.3;38.3;1.7;6.8;278.1;555.6;19.1;5;16.2;6.7;2.9;3.6;4.2;26;0.9;79.5;2029.9;18.8;9.5;45;1679.4;15.1;28.6;18.7;3.2;8.2;4.6;5.1;5.2;62.5;50.5;62.6;3.1
920.8;198.2;644.4;196.7;819.7;155.7;9362.3;1270.8;139.7;1482.5;434.8;312.2;166.6;923.3;266;126.8;863.1;951.8;431.2;174;2492.1;1302.8;13.5;909.2;37.9;14.4;444.2;0;31.2;214.5;169.7;29.3;4815;52.3
172.8;30.7;1015.8;109.7;226.4;2.4;1006.6;2080.8;49.4;90.7;199.1;513;152.6;1656.9;523;193;418.9;8.5;0.6;54;1031.4;786.4;2.8;60.6;15.7;14.1;64.9;7.4;0.5;6.1;13.6;23.7;84.1;21.8
38.8;18.8;542.3;0.3;32.9;32.2;213.8;26.2;1998.7;101.1;174.7;52.8;51;274.9;31.9;14.6;118.5;50.2;2.5;33.8;4286.2;329.6;19.3;113.8;8.5;31.8;31.2;3.2;1.9;4.7;22.4;18.2;169;5.9
12.1;35.9;30;4.4;62.8;9.8;325.5;126.9;126;4608.6;5982;2624.9;3081.5;3238.4;726.5;182.2;523.2;22.3;2.8;332;2368.9;242.7;1;17.4;0;1.7;43.6;0;0.3;0;9.6;17.4;0.1;0
367.3;136.8;742.6;27.7;110.2;35.8;215.9;119.2;139.9;2080.3;2584.4;817;2082.4;2055.3;405.2;344;507.8;501.8;74.3;892.3;2650.3;448.3;5.4;71.1;12.9;9.8;124.8;31.6;1.1;22.1;16.4;27.1;10.3;11.2
5.3;4;146;2.6;31.7;6.2;65.8;22.6;18.8;14.1;39;554.9;188.8;161.1;90.7;64.9;396.8;181.6;68.3;4.9;2205.2;108.4;302.9;160;10.1;1.5;91.7;6.2;1.1;77.3;18.2;14.5;72.1;7.5
34.2;22.6;72.2;3.7;38.2;10.9;47;19.8;19.1;50.7;39.8;21.5;368.2;151;27;8.6;92.1;54.9;58.7;9.4;121.7;179.7;27.3;23.2;4;0.4;25.3;23.1;0.5;8.9;3.4;2.7;3.4;4.2
1.1;0.5;6.6;0;2.9;0.5;2.6;6.8;2.8;0.9;50.6;13.3;65;2649.6;107.1;5.4;61.2;0.9;1.2;9.8;90.9;227.7;0.1;1.9;0;0;4.7;89.5;0;0.4;4.7;9.7;2.3;0
22.4;2.9;7.1;0;0.6;0.3;0.8;0.4;0.1;3.7;15.4;10.5;4.2;2.3;6.1;1.4;139.3;0.3;0;3;18.1;142.3;1.5;1.5;0;0;42.9;32.6;0.4;0.7;7.2;5.4;8.7;0.5
1.2;0.5;11.9;6.1;22.9;0.5;10.6;9.5;8.6;8.3;8.9;8.1;9.2;19.8;6.6;825.8;183.4;4.8;0.5;3.7;532.2;74;44.4;137.1;15;38.2;51.1;31.8;4.8;49.7;12.5;67.8;1439.4;18.5
729;283.7;2087.9;151.4;1591.2;293.7;1378.9;349.9;459.7;919.8;773.7;547.5;552.4;1223;1034.1;243.4;12676.6;1547.6;268.9;333.3;5991.2;10902.4;2782.6;1656.4;1823.1;864.8;5458.6;647.4;377.2;1677.8;2203.9;458.1;830.3;1746.8
432.1;334.8;2229;289.1;1002.3;439.5;2463.3;678;1877.3;2808.5;806.3;221.9;476.7;789;182.8;156.8;1638.9;30528.2;79.2;278;2658.8;6808.5;1096.6;1015.3;300.7;268.1;441.6;83.6;31.4;236.9;992.7;411;881.8;241.2
353.3;27.5;217.7;16.5;19.4;36.6;91.6;21.9;12.7;28.6;31.1;10.7;8.3;16.3;9.6;6.9;296.2;326.8;1085;299.5;296.5;499.7;47.2;357.3;8;21.1;84.7;19.6;7.7;47.3;123.7;69;159.3;45.4
21.9;3.4;139.4;32.6;95.3;116.8;306.4;87.2;78.1;3747.1;148.7;7.9;53.8;27.7;16.8;23.3;210;21.7;48.1;3105.7;421.9;349.9;17.9;92;11.9;118.6;22.5;17.3;0.3;57.1;0;6.1;82.9;4.8
156;74;607.1;93.1;161;64.9;354.7;194.4;266.1;165.7;161.9;62.5;149;10;104.9;100.6;1263.5;929.6;86.5;216.6;26913;3546.8;743.7;731.7;552.5;4670.7;229.2;240.8;29.5;241;693.2;613.5;611.1;149.7
5653;826.4;10758.2;1716.5;3153.7;659.4;7618.6;1953.6;1637.6;3176.9;2147.8;1906.2;2140.7;5296.6;1608.6;1466.9;4836.4;3820.2;478.8;1123.6;7789.5;53622.8;1612.5;7878.7;672.1;217.2;1514.4;740.5;1939.4;957.2;2573.4;822.7;3590.4;467
67.2;87;851.8;96.8;290.3;53.9;473.8;83.9;111.6;157.9;143.7;132.7;225.2;79.6;27.3;88;1555.5;1234.6;99.9;178.2;826.8;3173.8;11529.9;859.9;1121.4;619.1;692;112.9;19.7;448.6;1575.6;377.5;845;75.2
16.1;7;78;8.4;53.1;4.8;214.5;40.1;9.8;47.7;41.7;15.1;31;32.5;43.2;15.1;589.9;24.6;3.8;51.2;1358.6;532.7;396.9;284.4;463.9;133.5;698.7;44.7;4676.4;192.5;317;49.3;639.1;79.6
727.2;63.8;1143.3;184.2;343.9;199.2;482.1;189.9;165.9;314.1;306.3;191.7;253.3;378.7;136.6;128.7;1165.1;688.2;101.8;177.9;1876.3;5478.6;571.5;1075;12459.9;6506.2;946.1;337.7;172.2;447.4;1570.4;434.4;833.9;211.4
9.3;9.3;267.3;153.3;507.5;20.2;172.3;109.3;30.3;105.5;213.1;273.6;186.9;69.2;19.6;177.2;3892.6;54;41.2;45.5;4282.7;16837.2;2050;5256.7;2162.9;1089.2;1619.5;344.6;109.6;1108.4;1291.5;328.9;302.1;894.4
71.7;197.8;1277.2;181.1;520.2;495.9;694.9;303.3;348.4;273.8;388.9;539;434.4;508.3;167.2;217;2448.2;1054.4;275.2;324.4;2694.5;6055.9;1132.2;907;1228.5;2657.4;7008.6;82.4;128.6;353.6;333.6;185.4;582.6;280.5
14.6;111.3;161;28.8;135.5;70.3;41.8;31;91.4;44.7;86.7;48.3;115.9;220.8;77;36.1;823.1;110.1;154.4;59.2;1282.5;3263.5;640.5;237.5;16.5;418.9;330.1;786.9;159.9;93.4;186.9;101.4;76.1;142.4
0.4;0.1;1.8;1.2;5.6;1.3;7.8;0.5;0.3;0.8;0.5;0.2;0.3;0.5;0.7;0.7;35.7;2.5;1.5;3.6;19.7;54;7.6;3.9;1.8;3.4;6.2;2.6;107.2;10.4;5.8;1.6;2.1;10.4
321.1;175.4;2768.4;194.7;1216.5;76.2;728.4;288.2;260.3;267.4;322.9;602.6;268.3;499.8;297;28.9;1335.2;1468.7;287.9;129.1;433.8;9842.5;777.8;592.1;1625.5;869.4;2476.9;89.1;52.4;4744.1;2385.5;570.8;2050.5;145.5
15.5;6.2;74.7;8.2;28;3;49.1;9.4;5.4;27.5;16.1;9.7;12.3;42.6;7.9;7.8;53.8;52;1.8;9.5;517.6;532.2;10.9;204.1;0.7;11.7;11.6;39;7;24;10.4;11.8;24.6;64.4
57.4;10.7;440.9;32.7;209.7;38.3;128.7;48.2;11.5;154.5;18.2;36.7;32.9;86.6;57.6;49.6;393.6;298.3;36.9;42.4;137.8;1094.1;311.6;72.5;57;56.5;166.5;51.7;0;291;34.8;448.2;257.3;10.4
39.9;10.4;261.8;17.7;26.7;6.5;84.7;11.3;4.4;12.8;2.8;16.4;11.4;33;22.5;38.7;271.6;80;14.7;57.9;0.1;1678.3;255.3;397.4;59.7;49.5;147.2;18.6;1.2;130.4;34.9;56.4;5692.1;32.9
0.2;0;174.5;5.1;57.6;29.8;40.3;13.7;0;24.2;10.5;7.6;16.3;29.6;53.5;72.1;1244;0;0;5.2;0;535.7;105.3;143.9;111.8;75.1;134.8;89.5;157.7;227.7;8.1;6.8;3.6;1164.1
